Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,17,193,-0.44139658,D.J. Augustin,,ORL,G,7,26.08095238,8.571428571,1.571428571,2,4.714285714,0.428571429,0,0.345454545,7.857142857,0.916666667,1.714285714,1.142857143,-1.154495839,0.092514138,-1.350669244,0.758009215,-1.02559702,-1.146326102,-1.393404114,0.553823298,0.693576447
,8,86,-0.130244422,Marcus Morris,Off the Bench,BOS,F,7,25.37857143,14.42857143,2.142857143,7.428571429,1,0.428571429,0.142857143,0.492753623,9.857142857,0.857142857,3,1.714285714,-0.162829335,0.622893274,0.486767238,-0.974553443,-1.02559702,-0.929965468,0.155608352,0.53762094,0.117855662
,25,300,-0.6853882,Caleb Swanigan,,POR,F,3,14.01111111,4.333333333,0,7,0.333333333,0.333333333,0,0.416666667,4,1,1,1.666666667,-1.872043147,-1.366028484,0.341706463,-1.285526228,-1.207627181,-1.146326102,-0.324069126,0.52558761,0.165832394
,18,208,-0.484184349,Shaun Livingston,Doubtful - right foot soreness (1g),GSW,G,4,14.225,5.5,0,3.5,1,0.75,0,0.5625,4,1,1,0.75,-1.674516079,-1.366028484,-0.842956532,-0.974553443,-0.411245225,-1.146326102,0.442994627,0.52558761,1.089384486
,5,60,-0.03552855,Dewayne Dedmon,,ATL,C,4,19.87916667,7.75,0.75,6.75,0.75,0.25,2,0.461538462,6.5,1,1,0.25,-1.29357102,-0.669905869,0.257087678,-1.091168237,-1.366903573,1.882722772,-0.156746483,0.52558761,1.593140173
,31,361,-0.868817889,Brad Wanamaker,,BOS,G,2,3.033333333,3,0,0.5,0,0,0,0.5,2,1,1,0.5,-2.097788368,-1.366028484,-1.858381956,-1.44101262,-1.844732747,-1.146326102,0.068059333,0.52558761,1.34126233
,27,313,-0.713530079,Jarell Martin,,ORL,F,2,9.408333333,5,0,2.5,1,0,0,0.4,5,1,1,0,-1.759170537,-1.366028484,-1.181431673,-0.974553443,-1.844732747,-1.146326102,-0.520133355,0.52558761,1.845018016
,31,369,-0.883589736,Theo Pinson,G-League,BKN,F,2,5.191666667,1,0,0.5,1.5,0,0,0,1.5,1,1,0,-2.436406198,-1.366028484,-1.858381956,-0.741323854,-1.844732747,-1.146326102,-0.929713913,0.52558761,1.845018016
,30,356,-0.853027627,Drew Eubanks,G-League,SAS,F,2,3.158333333,2,0,0,0,0,0,0.5,1,1,1,0,-2.267097283,-1.366028484,-2.027619527,-1.44101262,-1.844732747,-1.146326102,0.04496249,0.52558761,1.845018016
,30,355,-0.839808666,J.R. Smith,,CLE,G,4,12.00833333,2.5,0,1,0.25,0.75,0,0.230769231,3.25,1,1,0.75,-2.182442825,-1.366028484,-1.689144386,-1.324397826,-0.411245225,-1.146326102,-1.053665243,0.52558761,1.089384486
